invoice_id,customer_id,invoice_date,due_date,payment_date,invoice_amount,credit_term,days_late,days_overdue,is_paid,is_late,is_overdue,payment_delay,risk_category,invoice_month,invoice_quarter,amount_bucket,risk_score,predicted_late,invoice_date_str,due_date_str,payment_date_str
INV-000001,CUST-1103,2023-06-26,2023-07-26,2023-08-11,13238.78,30,16.0,0,1,1,0,16.0,Low Risk,6,2,Large,0.7175491452217102,1.0,2023-06-26,2023-07-26,2023-08-11
INV-000002,CUST-1436,2023-10-09,2023-11-08,2023-12-11,5387.13,30,33.0,0,1,1,0,33.0,Medium Risk,10,4,Large,0.9971832633018494,1.0,2023-10-09,2023-11-08,2023-12-11
INV-000003,CUST-1349,2023-03-04,2023-04-03,2023-04-04,3144.82,30,1.0,0,1,1,0,1.0,Low Risk,3,1,Medium,0.9163222908973694,1.0,2023-03-04,2023-04-03,2023-04-04
INV-000004,CUST-1271,2023-08-05,2023-09-04,2023-09-07,1269.41,30,3.0,0,1,1,0,3.0,Low Risk,8,3,Medium,0.9037888050079346,1.0,2023-08-05,2023-09-04,2023-09-07
INV-000005,CUST-1107,2024-11-19,2024-12-04,2024-12-06,9719.42,15,2.0,0,1,1,0,2.0,Low Risk,11,4,Large,0.9951736330986023,1.0,2024-11-19,2024-12-04,2024-12-06
INV-000006,CUST-1072,2024-04-05,2024-05-05,2024-05-04,2842.35,30,-1.0,0,1,0,0,-1.0,No Risk,4,2,Medium,0.002131206914782524,0.0,2024-04-05,2024-05-05,2024-05-04
INV-000007,CUST-1189,2024-09-01,2024-10-01,2024-10-01,21775.65,30,0.0,0,1,0,0,0.0,No Risk,9,3,XLarge,0.9265956878662109,1.0,2024-09-01,2024-10-01,2024-10-01
INV-000008,CUST-1021,2023-04-15,2023-05-15,2023-05-30,9773.68,30,15.0,0,1,1,0,15.0,Low Risk,4,2,Large,0.9938430786132812,1.0,2023-04-15,2023-05-15,2023-05-30
INV-000009,CUST-1103,2023-04-09,2023-04-24,2023-04-26,2574.7,15,2.0,0,1,1,0,2.0,Low Risk,4,2,Medium,0.835204541683197,1.0,2023-04-09,2023-04-24,2023-04-26
INV-000010,CUST-1122,2024-05-25,2024-07-09,2024-07-13,2772.83,45,4.0,0,1,1,0,4.0,Low Risk,5,2,Medium,0.9968054294586182,1.0,2024-05-25,2024-07-09,2024-07-13
INV-000011,CUST-1467,2024-01-20,2024-02-19,2024-03-08,19486.57,30,18.0,0,1,1,0,18.0,Low Risk,1,1,XLarge,0.994658887386322,1.0,2024-01-20,2024-02-19,2024-03-08
INV-000012,CUST-1215,2024-02-09,2024-04-09,2024-04-09,4594.4,60,0.0,0,1,0,0,0.0,No Risk,2,1,Medium,0.2594590485095978,0.0,2024-02-09,2024-04-09,2024-04-09
INV-000013,CUST-1331,2024-06-01,2024-07-31,2024-07-31,3259.57,60,0.0,0,1,0,0,0.0,No Risk,6,2,Medium,0.2618388533592224,0.0,2024-06-01,2024-07-31,2024-07-31
INV-000014,CUST-1459,2024-04-20,2024-05-20,2024-05-22,5024.98,30,2.0,0,1,1,0,2.0,Low Risk,4,2,Large,0.9983611702919006,1.0,2024-04-20,2024-05-20,2024-05-22
INV-000015,CUST-1088,2024-12-09,2025-01-08,2025-01-05,3247.59,30,-3.0,0,1,0,0,-3.0,No Risk,12,4,Medium,0.005601225420832634,0.0,2024-12-09,2025-01-08,2025-01-05
INV-000016,CUST-1373,2024-10-06,2024-10-21,2024-10-20,5960.08,15,-1.0,0,1,0,0,-1.0,No Risk,10,4,Large,0.13738171756267548,0.0,2024-10-06,2024-10-21,2024-10-20
INV-000017,CUST-1100,2024-03-12,2024-04-11,2024-04-09,4625.51,30,-2.0,0,1,0,0,-2.0,No Risk,3,1,Medium,0.002960727782920003,0.0,2024-03-12,2024-04-11,2024-04-09
